Date ,Train_no,Train_name,Station,Scheduled_arrival,Actual_arrival,Delay_minutes_clean,Status,Month,Day_of_weeks,Train_metadata
27/10/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,09:03,31,Late ,October,Monday,
28/10/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:26,-,Before,October,Tuesday,
29/10/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:25,-,Before,October,Wednesday,
30/10/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:30,-,Before,October,Thursday,
31/10/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:29,-,Before,October,Friday,
01/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:28,-,Before,Novermber,Saturday,
02/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:21,-,Before,Novermber,Sunday,
03/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:23,-,Before,Novermber,Monday,
04/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:36,4,Late ,Novermber,Tuesday,
05/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:21,-,Before,Novermber,Wednesday,
06/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:45,13,Late ,Novermber,Thursday,
07/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:38,6,Late ,Novermber,Friday,
08/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:22,-,Before,Novermber,Saturday,
09/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:31,-,Before,Novermber,Sunday,
10/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:41,9,Late ,Novermber,Monday,
11/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:28,-,Before,Novermber,Tuesday,
12/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:22,-,Before,Novermber,Wednesday,
13/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:25,-,Before,Novermber,Thursday,
14/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:20,-,Before,Novermber,Friday,
15/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:26,-,Before,Novermber,Saturday,
16/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:51,19,Late ,Novermber,Sunday,
17/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:28,-,Before,Novermber,Monday,
18/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:32,-,On Time,Novermber,Tuesday,
19/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:38,6,Late ,Novermber,Wednesday,
20/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:32,-,On Time,Novermber,Thursday,
21/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:50,18,Late ,Novermber,Friday,
22/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:36,4,Late ,Novermber,Saturday,
23/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:23,-,Before,Novermber,Sunday,
24/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:37,5,Late ,Novermber,Monday,
25/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:40,8,Late ,Novermber,Tuesday,
26/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:29,-,Before,Novermber,Wednesday,
27/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:34,2,Late ,Novermber,Thursday,
28/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:41,9,Late ,Novermber,Friday,
29/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:34,2,Late ,Novermber,Saturday,
30/11/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:38,6,Late ,Novermber,Sunday,
1/12/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:47,15,Late ,December,Monday,
2/12/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:36,4,Late ,December,Tuesday,
3/12/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:34,2,Late ,December,Wednesday,
4/12/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:56,24,Late ,December,Thursday,
5/12/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:24,-,Before,December,Friday,
6/12/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:33,1,Late ,December,Saturday,
7/12/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:45,13,Late ,December,Sunday,
8/12/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:32,-,On Time,December,Monday,
9/12/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:31,-,Before,December,Tuesday,
10/12/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:26,-,Before,December,Wednesday,
11/12/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:30,-,Before,December,Thursday,
12/12/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,08:54,22,Late ,December,Friday,
13/12/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,11:13,161,Late ,December,Saturday,
14/12/2025,12951,Mumbai–New Delhi Tejas Rajdhani,New delhi,08:32,13:35,303,Late ,December,Sunday,
